class,accuracy,macro_f1,precision,recall,f1,support
OVERALL,0.9885185185185185,0.988255650465329,,,,
AnnualCrop,,,0.976897689768977,0.9866666666666667,0.9817578772802653,600.0
Forest,,,0.996661101836394,0.995,0.9958298582151793,600.0
HerbaceousVegetation,,,0.9866888519134775,0.9883333333333333,0.9875104079933389,600.0
Highway,,,0.9840319361277445,0.986,0.985014985014985,500.0
Industrial,,,0.9959919839679359,0.994,0.994994994994995,500.0
Pasture,,,0.9924433249370277,0.985,0.9887076537013801,400.0
PermanentCrop,,,0.9741035856573705,0.978,0.9760479041916168,500.0
Residential,,,1.0,0.995,0.9974937343358395,600.0
River,,,0.9781312127236581,0.984,0.9810568295114656,500.0
SeaLake,,,0.9983193277310924,0.99,0.994142259414226,600.0
